akt.citace;akt.název.vyhlášený;short_name;core_weak;core_strong;length;valid_from;n_ver;av_ver_life;int_n;ext_n;autonomy_coeff;int_link_dens;ext_link_dens;degree_in;degree_in_mult;degree_out;degree_out_mult;harmonic_centrality_in;harmonic_centrality_out;harmonic_centrality_all;knn_in;knn_out;knn_all;transitivity;page_rank_normal;hub_score;authority_score;betweenness;eigen_centrality;burt_constraint
38/1994 Sb.;Zákon o zahraničním obchodu s vojenským materiálem ;Zákon o zahraničním obchodu s vojenským materiálem;TRUE;TRUE;480;1994-03-21;14;812,3878205128206;129;14;0,9020979020979021;0,26874999999999999;0,029166666666666667;13;13;12;14;234,312698412700570;189,2440476190477341;296,038888888889005;52,923076923076920;24,0000000000000000;92,40740740740740;0,2533333333333334;0,001064862097009406;7,18619780034871e-04;1,85731890009029e-04;1,46022701205780e+03;7,02152022045109e-03;0,0763157575751274
71/1994 Sb.;Zákon o prodeji a vývozu předmětů kulturní hodnoty;Zákon o předmětech kulturní hodnoty;TRUE;TRUE;86;1994-04-29;8;1448,5773809523810;32;9;0,7804878048780488;0,37209302325581395;0,104651162790697680;9;13;6;9;207,181746031746258;173,8968253968248234;276,305555555558158;40,769230769230766;30,6666666666666679;102,81818181818181;0,5714285714285714;0,001148252865980519;9,08889118909300e-04;1,79853465098383e-04;2,36695531226732e+02;1,43546536393374e-02;0,1198363841815639
111/1994 Sb.;Zákon o silniční dopravě;Zákon o silniční dopravě;TRUE;TRUE;1126;1994-06-08;34;321,5757575757576;405;33;0,9246575342465754;0,35968028419182946;0,029307282415630551;28;43;20;33;237,651587301589586;188,4107142857142776;306,922222222221080;33,465116279069768;47,8181818181818201;95,90789473684211;0,2473404255319149;0,001557424073134966;1,08026432830337e-03;1,19418297603382e-03;1,08222655090585e+03;1,14351529663796e-02;0,0573233427397551
154/1994 Sb.;Zákon o bezpečnostní informační službě;Zákon o BIS;TRUE;TRUE;147;1994-07-27;17;632,2377450980392;5;16;0,2380952380952381;0,03401360544217687;0,108843537414965982;30;41;9;16;244,308669108671495;171,2396825396817235;295,360353535353738;37,536585365853661;27,6875000000000000;69,73684210526316;0,2145748987854251;0,002289770477539541;1,88164514978917e-04;6,36062658987138e-04;7,69158279443546e+02;1,27405996809121e-02;0,0692093209696294
200/1994 Sb.;Zákon o zeměměřictví a o změně a doplnění některých zákonů souvisejících s jeho zavedením;Zákon o zeměměřictví;TRUE;TRUE;503;1994-11-07;17;650,4973958333334;80;45;0,6400000000000000;0,15904572564612326;0,089463220675944338;24;61;22;45;233,222222222224275;184,9333333333331950;297,088888888888675;34,000000000000000;33,1333333333333329;72,90566037735849;0,2115942028985507;0,001881200820254025;5,50638650593453e-03;1,17508108094696e-02;1,05774442842902e+03;2,09741220293774e-02;0,0885580190949643
216/1994 Sb.;Zákon o rozhodčím řízení a o výkonu rozhodčích nálezů;Zákon o rozhodčím řízení;TRUE;TRUE;180;1994-11-30;11;1059,2000000000000;50;17;0,7462686567164180;0,27777777777777779;0,094444444444444442;12;13;6;17;215,522222222223064;144,1658730158723074;264,505555555558544;28,230769230769230;49,6470588235294130;121,53333333333333;0,1830065359477124;0,000789677854740029;2,07085892707458e-03;3,18384880525922e-04;5,39676661797646e+02;3,93810383586498e-03;0,1745598278208242
223/1994 Sb.;Zákon o sloučení Československé obchodní a průmyslové komory s Hospodářskou komorou České republiky, o některých opatřeních s tím souvisejících a o změně a doplnění zákona České národní rady č. 301/1992 Sb., o Hospodářské komoře České republiky a Agrární komoře České republiky, ve znění zákona č. 121/1993 Sb.;Zákon o sloučení ČSOPK s HK;TRUE;FALSE;15;1994-12-06;2;6940,0000000000000;0;2;0,0000000000000000;0,00000000000000000;0,133333333333333331;0;0;2;2;0,000000000000000;161,6730158730150890;240,073611111112143;NA;42,5000000000000000;190,50000000000000;1,0000000000000000;0,000246952111832855;4,79055430507005e-04;0,00000000000000e+00;0,00000000000000e+00;4,96498695435711e-20;0,6030606310870819
37/1995 Sb.;Zákon o neperiodických publikacích;Zákon o neperiodických publikacích;TRUE;TRUE;54;1995-03-14;5;2382,0000000000000;12;13;0,4800000000000000;0,22222222222222221;0,240740740740740727;3;3;8;13;184,956782106781020;166,7896825396815359;257,201388888891415;32,000000000000000;41,4615384615384599;154,81250000000000;0,4181818181818182;0,000345772568324202;2,52033269105686e-03;6,48275188214894e-05;1,35363128777298e+02;8,22581104067089e-04;0,1867374344074926
58/1995 Sb.;Zákon o pojišťování a financování vývozu se státní podporou ;Zákon o pojišťování a financování vývozu;TRUE;TRUE;271;1995-04-24;14;775,6217948717948;71;20;0,7802197802197802;0,26199261992619927;0,073800738007380073;1;1;9;20;167,393290043289340;151,5440476190468644;236,403968253969055;23,000000000000000;47,1499999999999986;208,80952380952380;0,3777777777777778;0,000279579550674057;5,11206513210213e-03;1,68879097270774e-06;5,40648498332973e+01;1,28762027521901e-04;0,2146004609642069
114/1995 Sb.;Zákon o vnitrozemské plavbě;Zákon o vnitrozemské plavbě;TRUE;TRUE;1607;1995-07-14;24;448,6521739130435;623;42;0,9368421052631579;0,38767890479153705;0,026135656502800250;30;35;17;42;243,451190476192806;173,0761904761896801;301,138888888888573;32,200000000000003;47,0952380952380949;98,54545454545455;0,1600370027752081;0,001499631642083168;9,99439485028421e-03;6,70852576266981e-03;1,11227171821206e+03;1,00348424210621e-02;0,0738883786309420
